Country,US$,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP
" Luxembourg,""113,196"",258642,0.6, 69.453 billion ,"" 113,196 """
" Eswatini,""4,176"",173642,0.9,4.662 billion,""4,146"""
" Mongolia,""4,132"",15660002,0.67,13.7 billion ,""4,151 """
" El Salvador,""4,008"",210412,1.5,25.855 billion ,""4,041 """
" Sri Lanka,""3,946"",656102,4.4,92.111 billion ,""4,152 """
" Tuvalu,""3,834"",262,0.0,32 million ,""2,970 """
" Micronesia, Federated States of,""3,717"",7022,0.0,383 million,""3,735"""
" Bolivia,""3,670"",10985812,1.29,43.687 billion,""3,823"""
" Cape Verde,""3,598"",40332,0.0,2.042 billion,""3,651"""
" Ukraine,""3,592"",6036282,7.0, 161.872 billion ,"" 3,881 """
" Bhutan,""3,423"",383942,1.1,2.547 billion,""3,117 """
" Morocco,""3,345"",7108502,0.055999999999999994,122.458 billion,""3,441"""
" Tunisia,""3,287"",1636102,5.0, 44.192 billion,"" 3,712.594"""
" Egypt,""3,046"",10104082,0.632, 302.256 billion ,"" 3,047 """
" Angola,""3,037"",12467002,0.0,124.600 billion ,""4,101 """
" Djibouti,""2,936"",232002,0.09,2.187 billion,""2,084"""
" Papua New Guinea,""2,742"",4628402,2.0,21.543 billion ,""2,504"""
" Vietnam,""2,740"",3312122,6.38, 261.637 billion ,"" 2,740 """
" Laos,""2,670"",2379552,2.0,20.153 billion,""2,670 """
" Venezuela,""2,547"",9164452,3.2, 70.140 billion ,"" 2,548 """
" Congo, Republic of the,""2,534"",3420002,3.3,11.162 billion,""2,444"""
" East Timor,""2,262"",150072,0.0,3.145 billion,""2,422"""
" Solomon Islands,""2,246"",284002,3.2,1.511 billion,""2,357"""
" Ghana,""2,223"",2395672,4.61,69.757 billion,""2,266"""
" Nigeria,""2,222"",9237692,1.4,504.57 billion ,""2,465 """
" India,""2,171"",32872632,9.6, 3.202 trillion ,"" 2,338 """
" Kenya,""1,997"",5803672,2.3,109.116 billion,""2,151"""
" São Tomé and Príncipe,""1,933"",10012,0.0,355 million,""1,668"""
" Nicaragua,""1,919"",1303752,7.14,13.380 billion ,""2,126 """
" Bangladesh,""1,905"",1484602,6.4,347.991 billion ,""2,173 """
" Uzbekistan,""1,831"",4489782,4.9,60.490 billion ,""1,831 """
" Côte d'Ivoire,""1,691"",3224632,1.4,58.792 billion,""2,286"""
" Cambodia,""1,620"",1810352,2.5,26.628 billion,""1,614"""
" Cameroon,""1,514"",4754422,0.57,38.445 billion ,""1,544 """
" Senegal,""1,427"",1967122,2.1,28.02 billion ,""1,675 """
" Mauritania,""1,392"",10300002,0.03,5.200 billion ,""1,309 """
" Pakistan,""1,388"",8819132,2.86, 284.2 billion ,"" 1,388 """
" Comoros,""1,349"",16592,0.0,1.179 billion ,""1,349 """
" Lesotho,""1,338"",303552,0.0032,2.721 billion,""1,413"""
" Zambia,""1,307"",7526182,1.0,23.137 billion,""1,342"""
" Kyrgyzstan,""1,292"",1999512,3.6, 8.261 billion ,"" 1,293 """
" Myanmar,""1,244"",6765782,3.06,66 billion ,""1,245 """
" Benin,""1,216"",1147632,0.4,11.386 billion ,971 "
" Tanzania,""1,104"",9473032,6.4,61.032 billion,""1,172"""
"   Nepal,""1,047"",1475162,2.8, 30 billion ,"" 1,048 """
 Guinea,981,2458572,0.0,9.183 billion,818
" Ethiopia,953,11043002,0.7,103.607 billion,""1,066"""
 Tajikistan,877,1431002,1.8,7.350 billion ,807 
 Chad,861,12840002,1.9,11 billion ,890 
" Zimbabwe,859,3907572,1.0,22.290 billion,""1,424"""
 Rwanda,824,263382,5.3,10.211 billion,830
 Guinea-Bissau,786,361252,22.4,1.480 billion,851
 Haiti,784,277502,0.7,7.897 billion ,719 
 Uganda,770,2410382,15.39,30.765 billion,833
 Gambia, The,755,106892,11.5,1.038 billion,488
 Burkina Faso,717,2742002,0.146,16.226 billion,792
 Liberia,703,1113692,13.514000000000001,3.221 billion,704
 Togo,671,567852,4.2,5.592 billion,682
 Sierra Leone,546,717402,1.1,3.824 billion,505
 Afghanistan,513,6522302,0.0,21.657 billion ,601 
 Congo, Democratic Republic of the,500,23454092,3.32, 46.117 billion, 501
 Mozambique,484,8015902,2.2,15.372 billion,493
 Central African Republic,447,6229842,0.0,2.003 billion,401
 Niger,405,12670002,0.02,9.869 billion ,510 
 Malawi,370,1184842,20.6,7.436 billion,367
" Eritrea,342,1176002,0.14,8.116 billion ,""1,295 """
 Burundi,309,278342,10.0,3.573 billion,310
