age,balance,duration,campaign,previous,default_cat,housing_cat,loan_cat,recent_pdays,deposit_cat,job_blue-collar,job_entrepreneur,job_other,job_pink-collar,job_self-employed,job_technician,job_white-collar,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,poutcome_failure,poutcome_success,poutcome_unknown
49,-8,1119,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
41,55,1120,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
49,168,513,1,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
28,785,442,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
43,2067,756,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
43,388,2087,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
43,-192,1120,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
37,381,985,2,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
35,40,617,4,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
31,22,483,3,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
43,3,929,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
31,307,538,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
28,759,710,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
32,-1,653,1,0,1,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
60,65,1028,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
26,82,654,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
40,10,1692,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
33,390,665,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
32,311,757,2,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
35,414,504,4,0,0,0,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
33,5,1346,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
38,119,568,4,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
23,4,395,2,0,0,1,0,0.0001,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
60,1262,1015,1,0,0,1,1,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
48,1949,683,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
45,-395,470,1,0,0,1,0,0.0001,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
36,1165,1001,4,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
52,2240,845,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
35,300,945,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
43,3285,1721,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
52,3923,942,3,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
53,1443,476,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
48,24,832,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
41,1618,1553,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
39,517,1328,1,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
59,1521,1125,2,0,0,1,1,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
41,2823,858,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
48,1405,629,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
40,1535,704,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
48,1596,760,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
60,1542,930,1,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
40,3652,1028,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
57,-1,850,2,0,0,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
51,7180,927,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
41,5291,1423,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
41,1384,1162,4,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
52,-191,755,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
59,320,695,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
44,146,483,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
49,341,520,2,0,0,1,1,0.0001,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
40,-9,920,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
41,-306,500,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
44,4580,911,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
60,313,920,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
29,10576,1224,2,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
41,-233,1156,2,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
41,2453,1052,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
42,1364,1867,6,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
36,281,515,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
39,94,813,1,0,0,1,1,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
31,144,676,1,0,0,1,0,0.0001,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
26,246,1143,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
31,92,688,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
29,163,803,1,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
37,49,619,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
33,-416,767,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
24,409,912,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
50,363,1340,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
27,3706,897,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
54,4393,1297,3,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
30,863,1193,5,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
34,695,1064,4,0,0,1,1,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
37,792,1187,4,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
41,1020,882,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
47,863,943,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
31,97,607,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
31,754,1022,4,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
43,1040,552,3,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
37,122,1622,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
30,880,967,6,0,0,1,1,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
41,501,579,5,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
36,4438,446,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
35,0,1205,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,271,1882,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
35,102,1334,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
31,2,182,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
35,4170,1777,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
34,85,1182,4,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
31,431,1045,1,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
44,982,650,3,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
36,408,1063,2,0,0,1,1,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
35,4822,843,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
41,1250,1392,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
31,216,565,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
34,1207,905,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
32,791,783,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
36,849,958,2,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
30,239,412,1,0,1,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
37,1211,795,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
36,599,649,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
31,825,506,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
27,2183,857,1,0,0,1,1,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
34,4499,1681,1,0,0,0,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
30,1289,1697,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
32,4665,860,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
37,3326,799,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
32,783,923,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
33,0,521,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
35,994,1349,8,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
35,1354,736,2,0,0,1,0,0.0001,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
30,239,785,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
45,-311,1030,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
45,149,893,3,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
33,1464,588,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
44,5773,597,6,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
40,278,1015,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
31,2910,1392,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
30,541,414,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
44,1262,788,11,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
34,-538,682,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
37,125,679,2,0,0,0,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
28,0,1560,2,0,0,1,0,0.0001,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
32,620,1234,3,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
37,316,642,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
34,2287,895,4,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
38,198,431,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
28,460,741,6,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
31,1145,1272,4,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
59,-22,748,3,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
24,685,896,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
26,901,764,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
59,351,1063,5,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
30,0,1051,1,0,0,1,1,0.0001,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
37,274,731,3,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
30,-213,751,1,0,0,1,1,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
25,97,709,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
44,51,3094,2,0,0,1,1,0.0001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
29,314,938,2,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
26,6840,1560,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
26,668,576,3,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
27,54,543,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
25,1242,615,2,0,0,1,0,0.0001,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
28,292,507,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
23,665,1183,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
34,1058,864,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
28,949,1730,1,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
51,606,560,9,0,0,1,0,0.0001,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
35,0,543,1,0,0,1,1,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
35,404,539,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
56,249,791,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
45,3354,746,1,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
60,0,1207,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
56,589,535,2,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
27,12956,789,3,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
30,873,792,3,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
45,594,833,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
29,-20,814,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
38,4692,1363,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
30,486,1109,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
44,1593,828,3,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
36,7606,917,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
38,226,762,3,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
36,366,1133,2,0,0,1,1,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
37,16,638,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
35,565,763,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
38,19,604,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
40,1082,854,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
42,1713,855,2,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
46,14481,1269,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
35,5724,691,10,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
34,1451,1097,15,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
32,-34,1236,2,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
50,3674,886,3,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
35,698,1343,3,0,0,1,1,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
36,4136,812,3,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
53,2656,1980,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
46,2904,984,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
26,1004,228,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
45,410,891,4,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
31,0,745,12,0,0,1,0,0.0001,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
29,0,539,12,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
53,62,1044,5,0,0,1,0,0.0001,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
27,416,1193,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
39,2763,526,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
36,2984,394,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
41,143,659,2,0,0,1,1,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
36,0,1036,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
32,696,815,1,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
35,152,563,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
36,-78,1068,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
35,867,230,3,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
30,953,747,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
42,443,671,5,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
42,-1129,555,5,0,1,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
32,415,777,4,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
29,260,707,14,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
44,-411,432,4,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
32,1279,1173,3,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
31,86,963,2,0,0,1,1,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
40,-754,941,3,0,1,1,1,0.0001,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
43,0,1025,7,0,0,0,0,0.0001,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
27,178,732,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
37,278,1045,3,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
23,425,768,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
25,168,801,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
26,-36,482,2,0,1,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
47,126,2456,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
35,-87,1363,7,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
32,6281,1336,4,0,0,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
45,644,633,1,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
30,377,524,15,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
29,-271,578,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
38,5839,984,2,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
23,492,638,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
27,99,767,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
27,-713,525,2,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
29,32,563,1,0,0,1,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
30,543,1449,6,0,0,1,1,0.0001,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
36,403,920,1,0,0,1,0,0.0001,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
